"","år","kön","Levande.födda","Dödfödda","Döda.under.första.levnadsåret","Döda.under.första.levnadsdygnet","Dödfödda.per.1.000.levande.födda.och.dödfödda","Döda.under.första.levnadsåret.per.1.000.levande.födda","Döda.under.första.levnadsdygnet.per.1.000.levande"
"391",1879,"båda könen",139043,4199,15464,NA,29.31,111.22,NA
"392",1879,"pojkar",71229,2393,8569,NA,32.5,120.3,NA
"393",1879,"flickor",67814,1806,6895,NA,25.94,101.68,NA
"394",1880,"båda könen",134262,4041,16199,NA,29.22,120.65,NA
"395",1880,"pojkar",68545,2319,9006,NA,32.72,131.39,NA
"396",1880,"flickor",65717,1722,7193,NA,25.53,109.45,NA
"397",1881,"båda könen",132804,3880,14973,NA,28.39,112.75,NA
"398",1881,"pojkar",68391,2239,8292,NA,31.7,121.24,NA
"399",1881,"flickor",64413,1641,6681,NA,24.84,103.72,NA
"400",1882,"båda könen",134300,3764,16733,NA,27.26,124.59,NA
"401",1882,"pojkar",68923,2189,9224,NA,30.78,133.83,NA
"402",1882,"flickor",65377,1575,7509,NA,23.52,114.86,NA
"403",1883,"båda könen",132875,3723,15371,NA,27.26,115.68,NA
"404",1883,"pojkar",68385,2104,8629,NA,29.85,126.18,NA
"405",1883,"flickor",64490,1619,6742,NA,24.49,104.54,NA
"406",1884,"båda könen",138745,3837,15703,NA,26.91,113.18,NA
"407",1884,"pojkar",71319,2177,8812,NA,29.62,123.56,NA
"408",1884,"flickor",67426,1660,6891,NA,24.03,102.2,NA
"409",1885,"båda könen",137308,4008,15696,NA,28.36,114.31,NA
"410",1885,"pojkar",70515,2319,8773,NA,31.84,124.41,NA
"411",1885,"flickor",66793,1689,6923,NA,24.66,103.65,NA
"412",1886,"båda könen",139882,3952,15555,NA,27.48,111.2,NA
"413",1886,"pojkar",71664,2292,8706,NA,30.99,121.48,NA
"414",1886,"flickor",68218,1660,6849,NA,23.76,100.4,NA
"415",1887,"båda könen",140169,3850,14451,NA,26.73,103.1,NA
"416",1887,"pojkar",71913,2219,8054,NA,29.93,112,NA
"417",1887,"flickor",68256,1631,6397,NA,23.34,93.72,NA
"418",1888,"båda könen",136451,3762,13689,NA,26.83,100.32,NA
"419",1888,"pojkar",69750,2175,7640,NA,30.24,109.53,NA
"420",1888,"flickor",66701,1587,6049,NA,23.24,90.69,NA
"421",1889,"båda könen",132069,3517,14162,NA,25.94,107.23,NA
"422",1889,"pojkar",67511,2031,7755,NA,29.21,114.87,NA
"423",1889,"flickor",64558,1486,6407,NA,22.5,99.24,NA
"424",1890,"båda könen",133597,3557,13771,NA,25.93,103.08,NA
"425",1890,"pojkar",68330,2033,7715,NA,28.89,112.91,NA
"426",1890,"flickor",65267,1524,6056,NA,22.82,92.79,NA
"427",1891,"båda könen",135516,3556,14626,784,25.57,107.93,5.79
"428",1891,"pojkar",69656,2022,8284,454,28.21,118.93,6.52
"429",1891,"flickor",65860,1534,6342,330,22.76,96.3,5.01
"430",1892,"båda könen",129622,3363,14153,786,25.29,109.19,6.06
"431",1892,"pojkar",66513,1949,8010,463,28.47,120.43,6.96
"432",1892,"flickor",63109,1414,6143,323,21.91,97.34,5.12
"433",1893,"båda könen",131729,3436,13332,844,25.42,101.21,6.41
"434",1893,"pojkar",67896,1966,7401,483,28.14,109,7.11
"435",1893,"flickor",63833,1470,5931,361,22.51,92.91,5.66
"436",1894,"båda könen",131409,3457,13263,768,25.63,100.93,5.84
"437",1894,"pojkar",67395,2008,7380,428,28.93,109.5,6.35
"438",1894,"flickor",64014,1449,5883,340,22.13,91.9,5.31
"439",1895,"båda könen",134599,3535,12745,810,25.59,94.69,6.02
"440",1895,"pojkar",69189,1953,7100,459,27.45,102.62,6.63
"441",1895,"flickor",65410,1582,5645,351,23.61,86.3,5.37
"442",1896,"båda könen",134308,3525,13875,812,25.57,103.31,6.05
"443",1896,"pojkar",68893,1936,7710,451,27.33,111.91,6.55
"444",1896,"flickor",65415,1589,6165,361,23.72,94.24,5.52
"445",1897,"båda könen",132999,3705,13109,836,27.1,98.56,6.29
"446",1897,"pojkar",68506,2064,7369,503,29.25,107.57,7.34
"447",1897,"flickor",64493,1641,5740,333,24.81,89,5.16
"448",1898,"båda könen",136523,3693,12392,841,26.34,90.77,6.16
"449",1898,"pojkar",70391,2093,6911,483,28.88,98.18,6.86
"450",1898,"flickor",66132,1600,5481,358,23.62,82.88,5.41
"451",1899,"båda könen",133882,3545,14949,852,25.8,111.66,6.36
"452",1899,"pojkar",68715,1998,8334,484,28.26,121.28,7.04
"453",1899,"flickor",65167,1547,6615,368,23.19,101.51,5.65
"454",1900,"båda könen",138139,3578,13601,919,25.25,98.46,6.65
"455",1900,"pojkar",70840,2030,7680,543,27.86,108.41,7.67
"456",1900,"flickor",67299,1548,5921,376,22.48,87.98,5.59
"457",1901,"båda könen",139370,3628,14348,864,25.37,102.95,6.2
"458",1901,"pojkar",71780,2095,8038,510,28.36,111.98,7.11
"459",1901,"flickor",67590,1533,6310,354,22.18,93.36,5.24
"460",1902,"båda könen",137364,3515,11862,858,24.95,86.35,6.25
"461",1902,"pojkar",70298,1969,6680,480,27.25,95.02,6.83
"462",1902,"flickor",67066,1546,5182,378,22.53,77.27,5.64
"463",1903,"båda könen",133896,3438,12431,854,25.03,92.84,6.38
"464",1903,"pojkar",68634,1958,7032,515,27.74,102.46,7.5
"465",1903,"flickor",65262,1480,5399,339,22.17,82.73,5.19
"466",1904,"båda könen",134952,3532,11384,857,25.5,84.36,6.35
"467",1904,"pojkar",69661,2019,6377,484,28.17,91.54,6.95
"468",1904,"flickor",65291,1513,5007,373,22.65,76.69,5.71
"469",1905,"båda könen",135409,3418,11957,872,24.62,88.3,6.44
"470",1905,"pojkar",69270,1885,6728,480,26.49,97.13,6.93
"471",1905,"flickor",66139,1533,5229,392,22.65,79.06,5.93
"472",1906,"båda könen",136620,3449,11071,845,24.62,81.03,6.19
"473",1906,"pojkar",70384,1953,6235,482,27,88.59,6.85
"474",1906,"flickor",66236,1496,4836,363,22.09,73.01,5.48
"475",1907,"båda könen",136793,3537,10508,820,25.2,76.82,5.99
"476",1907,"pojkar",70497,2006,5945,460,27.67,84.33,6.53
"477",1907,"flickor",66296,1531,4563,360,22.57,68.83,5.43
"478",1908,"båda könen",138874,3435,11864,838,24.14,85.43,6.03
"479",1908,"pojkar",71385,1897,6612,477,25.89,92.62,6.68
"480",1908,"flickor",67489,1538,5252,361,22.28,77.82,5.35
"481",1909,"båda könen",139505,3482,10070,852,24.35,72.18,6.11
"482",1909,"pojkar",71924,1952,5699,498,26.42,79.24,6.92
"483",1909,"flickor",67581,1530,4371,354,22.14,64.68,5.24
"484",1910,"båda könen",135625,3351,10192,863,24.11,75.15,6.36
"485",1910,"pojkar",70114,1854,5821,520,25.76,83.02,7.42
"486",1910,"flickor",65511,1497,4371,343,22.34,66.72,5.24
"487",1911,"båda könen",132977,3358,9577,839,24.63,72.02,6.31
"488",1911,"pojkar",68442,1863,5453,495,26.5,79.67,7.23
"489",1911,"flickor",64535,1495,4124,344,22.64,63.9,5.33
"490",1912,"båda könen",132868,3322,9415,793,24.39,70.86,5.97
"491",1912,"pojkar",68206,1864,5356,469,26.6,78.53,6.88
"492",1912,"flickor",64662,1458,4059,324,22.05,62.77,5.01
"493",1913,"båda könen",130200,3218,9076,828,24.12,69.71,6.36
"494",1913,"pojkar",67025,1801,5089,468,26.17,75.93,6.98
"495",1913,"flickor",63175,1417,3987,360,21.94,63.11,5.7
"496",1914,"båda könen",129458,3203,9435,820,24.14,72.88,6.33
"497",1914,"pojkar",66484,1780,5370,486,26.08,80.77,7.31
"498",1914,"flickor",62974,1423,4065,334,22.1,64.55,5.3
"499",1915,"båda könen",122997,3095,9321,819,24.55,75.78,6.66
"500",1915,"pojkar",63133,1778,5289,483,27.39,83.78,7.65
"501",1915,"flickor",59864,1317,4032,336,21.53,67.35,5.61
"502",1916,"båda könen",121679,3087,8483,818,24.74,69.72,6.72
"503",1916,"pojkar",62577,1725,4792,483,26.83,76.58,7.72
"504",1916,"flickor",59102,1362,3691,335,22.53,62.45,5.67
"505",1917,"båda könen",120855,2811,7797,733,22.73,64.52,6.07
"506",1917,"pojkar",62055,1569,4444,443,24.66,71.61,7.14
"507",1917,"flickor",58800,1242,3353,290,20.69,57.02,4.93
"508",1918,"båda könen",117955,2874,7621,773,23.79,64.61,6.55
"509",1918,"pojkar",60767,1542,4340,460,24.75,71.42,7.57
"510",1918,"flickor",57188,1332,3281,313,22.76,57.37,5.47
"511",1919,"båda könen",115193,2664,8021,695,22.6,69.63,6.03
"512",1919,"pojkar",59352,1527,4608,385,25.08,77.64,6.49
"513",1919,"flickor",55841,1137,3413,310,19.96,61.12,5.55
"514",1920,"båda könen",138753,3226,8781,863,22.72,63.29,6.22
"515",1920,"pojkar",71542,1821,5055,506,24.82,70.66,7.07
"516",1920,"flickor",67211,1405,3726,357,20.48,55.44,5.31
"517",1921,"båda könen",127723,3208,8177,751,24.5,64.02,5.88
"518",1921,"pojkar",65547,1755,4714,435,26.08,71.92,6.64
"519",1921,"flickor",62176,1453,3463,316,22.84,55.7,5.08
"520",1922,"båda könen",116946,2917,7308,587,24.34,62.49,5.02
"521",1922,"pojkar",60071,1627,4194,349,26.37,69.82,5.81
"522",1922,"flickor",56875,1290,3114,238,22.18,54.75,4.18
"523",1923,"båda könen",113435,2912,6378,568,25.03,56.23,5.01
"524",1923,"pojkar",58573,1632,3624,339,27.11,61.87,5.79
"525",1923,"flickor",54862,1280,2754,229,22.8,50.2,4.17
"526",1924,"båda könen",109055,2768,6574,705,24.75,60.28,6.46
"527",1924,"pojkar",55953,1552,3801,439,26.99,67.93,7.85
"528",1924,"flickor",53102,1216,2773,266,22.39,52.22,5.01
"529",1925,"båda könen",106292,2608,5917,649,23.95,55.67,6.11
"530",1925,"pojkar",54739,1511,3398,395,26.86,62.08,7.22
"531",1925,"flickor",51553,1097,2519,254,20.84,48.86,4.93
"532",1926,"båda könen",102007,2663,5708,630,25.44,55.96,6.18
"533",1926,"pojkar",52311,1464,3258,349,27.22,62.28,6.67
"534",1926,"flickor",49696,1199,2450,281,23.56,49.3,5.65
"535",1927,"båda könen",97994,2555,5856,701,25.41,59.76,7.15
"536",1927,"pojkar",50330,1464,3400,416,28.27,67.55,8.27
"537",1927,"flickor",47664,1091,2456,285,22.38,51.53,5.98
"538",1928,"båda könen",97868,2653,5755,641,26.39,58.8,6.55
"539",1928,"pojkar",50215,1510,3279,385,29.19,65.3,7.67
"540",1928,"flickor",47653,1143,2476,256,23.42,51.96,5.37
"541",1929,"båda könen",92861,2531,5436,702,26.53,58.54,7.56
"542",1929,"pojkar",47757,1397,3172,406,28.42,66.42,8.5
"543",1929,"flickor",45104,1134,2264,296,24.53,50.2,6.56
"544",1930,"båda könen",94220,2605,5157,695,26.9,54.73,7.38
"545",1930,"pojkar",48205,1461,2975,396,29.42,61.72,8.21
"546",1930,"flickor",46015,1144,2182,299,24.26,47.42,6.5
"547",1931,"båda könen",91074,2633,5159,597,28.1,56.65,6.56
"548",1931,"pojkar",46782,1461,3028,369,30.28,64.73,7.89
"549",1931,"flickor",44292,1172,2131,228,25.78,48.11,5.15
"550",1932,"båda könen",89779,2501,4555,656,27.1,50.74,7.31
"551",1932,"pojkar",46024,1394,2599,384,29.4,56.47,8.34
"552",1932,"flickor",43755,1107,1956,272,24.68,44.7,6.22
"553",1933,"båda könen",85020,2326,4210,575,26.63,49.52,6.76
"554",1933,"pojkar",43819,1281,2472,338,28.4,56.41,7.71
"555",1933,"flickor",41201,1045,1738,237,24.74,42.18,5.75
"556",1934,"båda könen",85092,2359,4014,626,26.98,47.17,7.36
"557",1934,"pojkar",43794,1299,2317,348,28.81,52.91,7.95
"558",1934,"flickor",41298,1060,1697,278,25.02,41.09,6.73
"559",1935,"båda könen",85906,2367,3942,583,26.81,45.89,6.79
"560",1935,"pojkar",44390,1292,2315,336,28.28,52.15,7.57
"561",1935,"flickor",41516,1075,1627,247,25.24,39.19,5.95
"562",1936,"båda könen",88938,2520,3857,512,27.55,43.37,5.76
"563",1936,"pojkar",45619,1399,2232,314,29.75,48.93,6.88
"564",1936,"flickor",43319,1121,1625,198,25.23,37.51,4.57
"565",1937,"båda könen",90373,2673,4082,595,28.73,45.17,6.58
"566",1937,"pojkar",46533,1488,2374,355,30.99,51.02,7.63
"567",1937,"flickor",43840,1185,1708,240,26.32,38.96,5.47
"568",1938,"båda könen",93946,2670,3992,681,27.64,42.49,7.25
"569",1938,"pojkar",48248,1458,2322,405,29.33,48.13,8.39
"570",1938,"flickor",45698,1212,1670,276,25.84,36.54,6.04
"571",1939,"båda könen",97380,2724,3845,690,27.21,39.48,7.09
"572",1939,"pojkar",49960,1491,2253,389,28.98,45.1,7.79
"573",1939,"flickor",47420,1233,1592,301,25.34,33.57,6.35
"574",1940,"båda könen",95778,2819,3758,665,28.59,39.24,6.94
"575",1940,"pojkar",49226,1544,2174,374,30.41,44.16,7.6
"576",1940,"flickor",46552,1275,1584,291,26.66,34.03,6.25
"577",1941,"båda könen",99727,2508,3685,659,24.53,36.95,6.61
"578",1941,"pojkar",51152,1411,2096,353,26.84,40.98,6.9
"579",1941,"flickor",48575,1097,1589,306,22.08,32.71,6.3
"580",1942,"båda könen",113961,2607,3337,705,22.36,29.28,6.19
"581",1942,"pojkar",58606,1434,1928,412,23.88,32.9,7.03
"582",1942,"flickor",55355,1173,1409,293,20.75,25.45,5.29
"583",1943,"båda könen",125392,2801,3629,792,21.85,28.94,6.32
"584",1943,"pojkar",64330,1551,2127,462,23.54,33.06,7.18
"585",1943,"flickor",61062,1250,1502,330,20.06,24.6,5.4
"586",1944,"båda könen",134991,3187,4195,862,23.06,31.08,6.39
"587",1944,"pojkar",69724,1810,2469,492,25.3,35.41,7.06
"588",1944,"flickor",65267,1377,1726,370,20.66,26.45,5.67
"589",1945,"båda könen",135373,3330,4054,897,24.01,29.95,6.63
"590",1945,"pojkar",69940,1842,2351,517,25.66,33.61,7.39
"591",1945,"flickor",65433,1488,1703,380,22.24,26.03,5.81
"592",1946,"båda könen",132597,2935,3516,839,21.66,26.52,6.33
"593",1946,"pojkar",68228,1597,2008,518,22.87,29.43,7.59
"594",1946,"flickor",64369,1338,1508,321,20.36,23.43,4.99
"595",1947,"båda könen",128779,2786,3268,764,21.18,25.38,5.93
"596",1947,"pojkar",66229,1503,1867,440,22.19,28.19,6.64
"597",1947,"flickor",62550,1283,1401,324,20.1,22.4,5.18
"598",1948,"båda könen",126683,2512,2936,740,19.44,23.18,5.84
"599",1948,"pojkar",64997,1374,1753,445,20.7,26.97,6.85
"600",1948,"flickor",61686,1138,1183,295,18.11,19.18,4.78
"601",1949,"båda könen",121272,2489,2823,749,20.11,23.28,6.18
"602",1949,"pojkar",62472,1355,1632,436,21.23,26.12,6.98
"603",1949,"flickor",58800,1134,1191,313,18.92,20.26,5.32
"604",1950,"båda könen",115414,2340,2421,635,19.87,20.98,5.5
"605",1950,"pojkar",59655,1286,1410,372,21.1,23.64,6.24
"606",1950,"flickor",55759,1054,1011,263,18.55,18.13,4.72
"607",1951,"båda könen",110168,2163,2378,624,19.26,21.59,5.66
"608",1951,"pojkar",56798,1204,1385,376,20.76,24.38,6.62
"609",1951,"flickor",53370,959,993,248,17.65,18.61,4.65
"610",1952,"båda könen",110192,2052,2207,597,18.28,20.03,5.42
"611",1952,"pojkar",56879,1137,1264,338,19.6,22.22,5.94
"612",1952,"flickor",53313,915,943,259,16.87,17.69,4.86
"613",1953,"båda könen",110144,2007,2064,551,17.9,18.74,5
"614",1953,"pojkar",56840,1108,1191,314,19.12,20.95,5.52
"615",1953,"flickor",53304,899,873,237,16.59,16.38,4.45
"616",1954,"båda könen",105096,1811,1966,540,16.94,18.71,5.14
"617",1954,"pojkar",54181,948,1191,323,17.2,21.98,5.96
"618",1954,"flickor",50915,863,775,217,16.67,15.22,4.26
"619",1955,"båda könen",107305,1819,1871,534,16.67,17.44,4.98
"620",1955,"pojkar",55227,983,1070,314,17.49,19.37,5.69
"621",1955,"flickor",52078,836,801,220,15.8,15.38,4.22
"622",1956,"båda könen",107960,1836,1871,563,16.72,17.33,5.21
"623",1956,"pojkar",56025,1019,1067,321,17.86,19.05,5.73
"624",1956,"flickor",51935,817,804,242,15.49,15.48,4.66
"625",1957,"båda könen",107168,1700,1904,556,15.62,17.77,5.19
"626",1957,"pojkar",54862,875,1091,316,15.7,19.89,5.76
"627",1957,"flickor",52306,825,813,240,15.53,15.54,4.59
"628",1958,"båda könen",105502,1673,1678,494,15.61,15.9,4.68
"629",1958,"pojkar",54514,935,987,286,16.86,18.11,5.25
"630",1958,"flickor",50988,738,691,208,14.27,13.55,4.08
"631",1959,"båda könen",104743,1576,1742,504,14.82,16.63,4.81
"632",1959,"pojkar",54224,868,1043,308,15.76,19.24,5.68
"633",1959,"flickor",50519,708,699,196,13.82,13.84,3.88
"634",1960,"båda könen",102219,1418,1699,654,13.68,16.62,6.4
"635",1960,"pojkar",52412,751,993,406,14.13,18.95,7.75
"636",1960,"flickor",49807,667,706,248,13.21,14.17,4.98
"637",1961,"båda könen",104501,1340,1647,533,12.66,15.76,5.1
"638",1961,"pojkar",53807,711,950,286,13.04,17.66,5.32
"639",1961,"flickor",50694,629,697,247,12.26,13.75,4.87
"640",1962,"båda könen",107284,1348,1655,567,12.41,15.43,5.29
"641",1962,"pojkar",55117,710,971,328,12.72,17.62,5.95
"642",1962,"flickor",52167,638,684,239,12.08,13.11,4.58
"643",1963,"båda könen",112903,1367,1735,563,11.96,15.37,4.99
"644",1963,"pojkar",58326,723,1014,340,12.24,17.39,5.83
"645",1963,"flickor",54577,644,721,223,11.66,13.21,4.09
"646",1964,"båda könen",122664,1391,1744,556,11.21,14.22,4.53
"647",1964,"pojkar",62881,731,1001,308,11.49,15.92,4.9
"648",1964,"flickor",59783,660,743,248,10.92,12.43,4.15
"649",1965,"båda könen",122806,1268,1639,554,10.22,13.35,4.51
"650",1965,"pojkar",63156,626,926,320,9.81,14.66,5.07
"651",1965,"flickor",59650,642,713,234,10.65,11.95,3.92
"652",1966,"båda könen",123354,1237,1549,499,9.93,12.56,4.05
"653",1966,"pojkar",63646,644,922,303,10.02,14.49,4.76
"654",1966,"flickor",59708,593,627,196,9.83,10.5,3.28
"655",1967,"båda könen",121360,1157,1560,539,9.44,12.85,4.44
"656",1967,"pojkar",62528,605,892,311,9.58,14.27,4.97
"657",1967,"flickor",58832,552,668,228,9.3,11.35,3.88
"658",1968,"båda könen",113087,1026,1478,522,8.99,13.07,4.62
"659",1968,"pojkar",58121,526,864,293,8.97,14.87,5.04
"660",1968,"flickor",54966,500,614,229,9.01,11.17,4.17
"661",1969,"båda könen",107622,871,1264,399,8.03,11.74,3.71
"662",1969,"pojkar",55628,444,773,262,7.92,13.9,4.71
"663",1969,"flickor",51994,427,491,137,8.15,9.44,2.63
"664",1970,"båda könen",110150,929,1212,394,8.36,11,3.58
"665",1970,"pojkar",56542,482,711,245,8.45,12.57,4.33
"666",1970,"flickor",53608,447,501,149,8.27,9.35,2.78
"667",1971,"båda könen",114484,905,1270,412,7.84,11.09,3.6
"668",1971,"pojkar",59074,487,740,238,8.18,12.53,4.03
"669",1971,"flickor",55410,418,530,174,7.49,9.57,3.14
"670",1972,"båda könen",112273,764,1215,376,6.76,10.82,3.35
"671",1972,"pojkar",57904,402,734,243,6.89,12.68,4.2
"672",1972,"flickor",54369,362,481,133,6.61,8.85,2.45
"673",1973,"båda könen",109663,788,1082,378,7.13,9.87,3.45
"674",1973,"pojkar",56411,408,609,215,7.18,10.8,3.81
"675",1973,"flickor",53252,380,473,163,7.09,8.88,3.06
"676",1974,"båda könen",109874,732,1050,335,6.62,9.56,3.05
"677",1974,"pojkar",56580,389,597,200,6.83,10.55,3.53
"678",1974,"flickor",53294,343,453,135,6.39,8.5,2.53
"679",1975,"båda könen",103632,603,894,285,5.79,8.63,2.75
"680",1975,"pojkar",53242,319,522,164,5.96,9.8,3.08
"681",1975,"flickor",50390,284,372,121,5.6,7.38,2.4
"682",1976,"båda könen",98345,545,818,233,5.51,8.32,2.37
"683",1976,"pojkar",50555,289,460,122,5.68,9.1,2.41
"684",1976,"flickor",47790,256,358,111,5.33,7.49,2.32
"685",1977,"båda könen",96057,492,773,224,5.1,8.05,2.33
"686",1977,"pojkar",49529,250,445,125,5.02,8.98,2.52
"687",1977,"flickor",46528,242,328,99,5.17,7.05,2.13
"688",1978,"båda könen",93248,455,727,181,4.86,7.8,1.94
"689",1978,"pojkar",47844,244,424,104,5.07,8.86,2.17
"690",1978,"flickor",45404,211,303,77,4.63,6.67,1.7
"691",1979,"båda könen",96255,445,721,190,4.6,7.49,1.97
"692",1979,"pojkar",49415,234,417,105,4.71,8.44,2.12
"693",1979,"flickor",46840,211,304,85,4.48,6.49,1.81
"694",1980,"båda könen",97064,436,671,173,4.47,6.91,1.78
"695",1980,"pojkar",49860,237,402,114,4.73,8.06,2.29
"696",1980,"flickor",47204,199,269,59,4.2,5.7,1.25
"697",1981,"båda könen",94065,380,653,156,4.02,6.94,1.66
"698",1981,"pojkar",48131,184,355,83,3.81,7.38,1.72
"699",1981,"flickor",45934,196,298,73,4.25,6.49,1.59
"700",1982,"båda könen",92748,374,635,166,4.02,6.85,1.79
"701",1982,"pojkar",47732,208,341,82,4.34,7.14,1.72
"702",1982,"flickor",45016,166,294,84,3.67,6.53,1.87
"703",1983,"båda könen",91780,340,646,131,3.69,7.04,1.43
"704",1983,"pojkar",47313,192,333,77,4.04,7.04,1.63
"705",1983,"flickor",44467,148,313,54,3.32,7.04,1.21
"706",1984,"båda könen",93889,381,601,133,4.04,6.4,1.42
"707",1984,"pojkar",48340,204,350,74,4.2,7.24,1.53
"708",1984,"flickor",45549,177,251,59,3.87,5.51,1.3
"709",1985,"båda könen",98463,388,666,132,3.93,6.76,1.34
"710",1985,"pojkar",50748,188,366,73,3.69,7.21,1.44
"711",1985,"flickor",47715,200,300,59,4.17,6.29,1.24
"712",1986,"båda könen",101950,423,605,146,4.13,5.93,1.43
"713",1986,"pojkar",52398,210,346,86,3.99,6.6,1.64
"714",1986,"flickor",49552,213,259,60,4.28,5.23,1.21
"715",1987,"båda könen",104699,412,641,133,3.92,6.12,1.27
"716",1987,"pojkar",53565,206,358,70,3.83,6.68,1.31
"717",1987,"flickor",51134,206,283,63,4.01,5.53,1.23
"718",1988,"båda könen",112080,422,652,141,3.75,5.82,1.26
"719",1988,"pojkar",57821,220,380,88,3.79,6.57,1.52
"720",1988,"flickor",54259,202,272,53,3.71,5.01,0.98
"721",1989,"båda könen",116023,423,670,153,3.63,5.77,1.32
"722",1989,"pojkar",59683,216,392,90,3.61,6.57,1.51
"723",1989,"flickor",56340,207,278,63,3.66,4.93,1.12
"724",1990,"båda könen",123938,443,739,175,3.56,5.96,1.41
"725",1990,"pojkar",63572,241,421,93,3.78,6.62,1.46
"726",1990,"flickor",60366,202,318,82,3.34,5.27,1.36
"727",1991,"båda könen",123737,464,761,147,3.74,6.15,1.19
"728",1991,"pojkar",63729,234,421,72,3.66,6.61,1.13
"729",1991,"flickor",60008,230,340,75,3.82,5.67,1.25
"730",1992,"båda könen",122848,396,657,127,3.21,5.35,1.03
"731",1992,"pojkar",63193,197,378,70,3.11,5.98,1.11
"732",1992,"flickor",59655,199,279,57,3.32,4.68,0.96
"733",1993,"båda könen",117998,400,571,129,3.38,4.84,1.09
"734",1993,"pojkar",60329,203,331,72,3.35,5.49,1.19
"735",1993,"flickor",57669,197,240,57,3.4,4.16,0.99
"736",1994,"båda könen",112257,348,499,123,3.09,4.45,1.1
"737",1994,"pojkar",57329,185,280,72,3.22,4.88,1.26
"738",1994,"flickor",54928,163,219,51,2.96,3.99,0.93
"739",1995,"båda könen",103422,350,429,102,3.37,4.15,0.99
"740",1995,"pojkar",53214,182,250,51,3.41,4.7,0.96
"741",1995,"flickor",50208,168,179,51,3.33,3.57,1.02
"742",1996,"båda könen",95297,330,377,80,3.45,3.96,0.84
"743",1996,"pojkar",48660,174,204,38,3.56,4.19,0.78
"744",1996,"flickor",46637,156,173,42,3.33,3.71,0.9
"745",1997,"båda könen",90502,314,328,88,3.46,3.62,0.97
"746",1997,"pojkar",46511,149,190,58,3.19,4.09,1.25
"747",1997,"flickor",43991,165,138,30,3.74,3.14,0.68
"748",1998,"båda könen",89028,321,316,69,3.59,3.55,0.78
"749",1998,"pojkar",45940,166,186,41,3.6,4.05,0.89
"750",1998,"flickor",43088,155,130,28,3.58,3.02,0.65
"751",1999,"båda könen",88173,325,297,78,3.67,3.37,0.88
"752",1999,"pojkar",45230,168,184,46,3.7,4.07,1.02
"753",1999,"flickor",42943,157,113,32,3.64,2.63,0.75
"754",2000,"båda könen",90441,339,309,64,3.73,3.42,0.71
"755",2000,"pojkar",46620,170,186,37,3.63,3.99,0.79
"756",2000,"flickor",43821,169,123,27,3.84,2.81,0.62
"757",2001,"båda könen",91466,337,334,84,3.67,3.65,0.92
"758",2001,"pojkar",47138,185,189,47,3.91,4.01,1
"759",2001,"flickor",44328,152,145,37,3.42,3.27,0.83
"760",2002,"båda könen",95815,339,313,62,3.53,3.27,0.65
"761",2002,"pojkar",49187,176,172,32,3.57,3.5,0.65
"762",2002,"flickor",46628,163,141,30,3.48,3.02,0.64
"763",2003,"båda könen",99157,347,308,72,3.49,3.11,0.73
"764",2003,"pojkar",51114,171,184,42,3.33,3.6,0.82
"765",2003,"flickor",48043,176,124,30,3.65,2.58,0.62
"766",2004,"båda könen",100928,318,314,76,3.14,3.11,0.75
"767",2004,"pojkar",51975,148,171,37,2.84,3.29,0.71
"768",2004,"flickor",48953,170,143,39,3.46,2.92,0.8
"769",2005,"båda könen",101346,301,246,55,2.96,2.43,0.54
"770",2005,"pojkar",52036,145,131,30,2.78,2.52,0.58
"771",2005,"flickor",49310,156,115,25,3.15,2.33,0.51
"772",2006,"båda könen",105913,319,297,77,3,2.8,0.73
"773",2006,"pojkar",54483,159,165,40,2.91,3.03,0.73
"774",2006,"flickor",51430,160,132,37,3.1,2.57,0.72
"775",2007,"båda könen",107421,326,268,66,3.03,2.49,0.61
"776",2007,"pojkar",55259,158,148,40,2.85,2.68,0.72
"777",2007,"flickor",52162,168,120,26,3.21,2.3,0.5
"778",2008,"båda könen",109301,396,272,73,3.61,2.49,0.67
"779",2008,"pojkar",56352,199,141,40,3.52,2.5,0.71
"780",2008,"flickor",52949,197,131,33,3.71,2.47,0.62
"781",2009,"båda könen",111801,451,278,65,4.02,2.49,0.58
"782",2009,"pojkar",57564,234,148,32,4.05,2.57,0.56
"783",2009,"flickor",54237,217,130,33,3.99,2.4,0.61
"784",2010,"båda könen",115641,426,294,60,3.67,2.54,0.52
"785",2010,"pojkar",59385,231,160,33,3.87,2.69,0.56
"786",2010,"flickor",56256,195,134,27,3.45,2.38,0.48
"787",2011,"båda könen",111770,429,235,57,3.82,2.1,0.51
"788",2011,"pojkar",57205,227,128,31,3.95,2.24,0.54
"789",2011,"flickor",54565,202,107,26,3.69,1.96,0.48
"790",2012,"båda könen",113177,453,293,63,3.99,2.59,0.56
"791",2012,"pojkar",58171,230,167,38,3.94,2.87,0.65
"792",2012,"flickor",55006,223,126,25,4.04,2.29,0.45
"793",2013,"båda könen",113593,441,306,84,3.87,2.69,0.74
"794",2013,"pojkar",58472,212,168,50,3.61,2.87,0.86
"795",2013,"flickor",55121,229,138,34,4.14,2.5,0.62
"796",2014,"båda könen",114907,456,251,64,3.95,2.18,0.56
"797",2014,"pojkar",59098,237,151,36,3.99,2.56,0.61
"798",2014,"flickor",55809,219,100,28,3.91,1.79,0.5
"799",2015,"båda könen",114870,429,282,71,3.72,2.45,0.62
"800",2015,"pojkar",59502,208,166,42,3.48,2.79,0.71
