"","år","kön","Levande.födda","Dödfödda","Döda.under.första.levnadsåret","Döda.under.första.levnadsdygnet","Dödfödda.per.1.000.levande.födda.och.dödfödda","Döda.under.första.levnadsåret.per.1.000.levande.födda","Döda.under.första.levnadsdygnet.per.1.000.levande"
"80",1775,"pojkar",36480,NA,7109,NA,NA,194.87,NA
"81",1775,"flickor",35162,NA,6120,NA,NA,174.05,NA
"82",1776,"båda könen",66869,2115,11619,NA,30.66,173.76,NA
"83",1776,"pojkar",34236,NA,6345,NA,NA,185.33,NA
"84",1776,"flickor",32633,NA,5274,NA,NA,161.62,NA
"85",1777,"båda könen",67693,1997,13209,NA,28.66,195.13,NA
"86",1777,"pojkar",34529,NA,7066,NA,NA,204.64,NA
"87",1777,"flickor",33164,NA,6143,NA,NA,185.23,NA
"88",1778,"båda könen",71901,2110,15195,NA,28.51,211.33,NA
"89",1778,"pojkar",36717,NA,8056,NA,NA,219.41,NA
"90",1778,"flickor",35184,NA,7139,NA,NA,202.9,NA
"91",1779,"båda könen",76387,2105,16398,NA,26.82,214.67,NA
"92",1779,"pojkar",39224,NA,8707,NA,NA,221.98,NA
"93",1779,"flickor",37163,NA,7691,NA,NA,206.95,NA
"94",1780,"båda könen",75122,2159,12317,NA,27.94,163.96,NA
"95",1780,"pojkar",38355,NA,6620,NA,NA,172.6,NA
"96",1780,"flickor",36767,NA,5697,NA,NA,154.95,NA
"97",1781,"båda könen",71130,2098,13685,NA,28.65,192.39,NA
"98",1781,"pojkar",36415,NA,7350,NA,NA,201.84,NA
"99",1781,"flickor",34715,NA,6335,NA,NA,182.49,NA
"100",1782,"båda könen",68488,1981,12855,NA,28.11,187.7,NA
"101",1782,"pojkar",35061,NA,6958,NA,NA,198.45,NA
"102",1782,"flickor",33427,NA,5897,NA,NA,176.41,NA
"103",1783,"båda könen",64969,1815,13150,NA,27.18,202.4,NA
"104",1783,"pojkar",33171,NA,7152,NA,NA,215.61,NA
"105",1783,"flickor",31798,NA,5998,NA,NA,188.63,NA
"106",1784,"båda könen",67605,1873,13204,NA,26.96,195.31,NA
"107",1784,"pojkar",34156,NA,6848,NA,NA,200.49,NA
"108",1784,"flickor",33449,NA,6356,NA,NA,190.02,NA
"109",1785,"båda könen",67497,1983,13000,NA,28.54,192.6,NA
"110",1785,"pojkar",34383,NA,6899,NA,NA,200.65,NA
"111",1785,"flickor",33114,NA,6101,NA,NA,184.24,NA
"112",1786,"båda könen",70935,1756,14328,NA,24.16,201.99,NA
"113",1786,"pojkar",36254,NA,7631,NA,NA,210.49,NA
"114",1786,"flickor",34681,NA,6697,NA,NA,193.1,NA
"115",1787,"båda könen",68328,1997,12759,NA,28.4,186.73,NA
"116",1787,"pojkar",35045,NA,6937,NA,NA,197.95,NA
"117",1787,"flickor",33283,NA,5822,NA,NA,174.92,NA
"118",1788,"båda könen",74019,2008,15339,NA,26.41,207.23,NA
"119",1788,"pojkar",38069,NA,8206,NA,NA,215.56,NA
"120",1788,"flickor",35950,NA,7133,NA,NA,198.41,NA
"121",1789,"båda könen",70127,1931,15677,NA,26.8,223.55,NA
"122",1789,"pojkar",35883,NA,8418,NA,NA,234.6,NA
"123",1789,"flickor",34244,NA,7259,NA,NA,211.98,NA
"124",1790,"båda könen",66710,1843,13917,NA,26.88,208.62,NA
"125",1790,"pojkar",34130,NA,7396,NA,NA,216.7,NA
"126",1790,"flickor",32580,NA,6521,NA,NA,200.15,NA
"127",1791,"båda könen",71613,2272,13413,NA,30.75,187.3,NA
"128",1791,"pojkar",36695,NA,7299,NA,NA,198.91,NA
"129",1791,"flickor",34918,NA,6114,NA,NA,175.1,NA
"130",1792,"båda könen",81063,2295,15629,NA,27.53,192.8,NA
"131",1792,"pojkar",41680,NA,8566,NA,NA,205.52,NA
"132",1792,"flickor",39383,NA,7063,NA,NA,179.34,NA
"133",1793,"båda könen",77033,2294,15399,NA,28.92,199.9,NA
"134",1793,"pojkar",39209,NA,8400,NA,NA,214.24,NA
"135",1793,"flickor",37824,NA,6999,NA,NA,185.04,NA
"136",1794,"båda könen",76429,2337,13802,NA,29.67,180.59,NA
"137",1794,"pojkar",38906,NA,7412,NA,NA,190.51,NA
"138",1794,"flickor",37523,NA,6390,NA,NA,170.3,NA
"139",1795,"båda könen",72947,2137,14764,NA,28.46,202.39,NA
"140",1795,"pojkar",37398,NA,7917,NA,NA,211.7,NA
"141",1795,"flickor",35549,NA,6847,NA,NA,192.61,NA
"142",1796,"båda könen",79446,2372,15345,NA,28.99,193.15,NA
"143",1796,"pojkar",40467,NA,8315,NA,NA,205.48,NA
"144",1796,"flickor",38979,NA,7030,NA,NA,180.35,NA
"145",1797,"båda könen",80374,2364,15738,NA,28.57,195.81,NA
"146",1797,"pojkar",41177,NA,8473,NA,NA,205.77,NA
"147",1797,"flickor",39197,NA,7265,NA,NA,185.35,NA
"148",1798,"båda könen",78593,2199,14441,NA,27.22,183.74,NA
"149",1798,"pojkar",40368,NA,7786,NA,NA,192.88,NA
"150",1798,"flickor",38225,NA,6655,NA,NA,174.1,NA
"151",1799,"båda könen",75274,2006,14355,NA,25.96,190.7,NA
"152",1799,"pojkar",38666,NA,7901,NA,NA,204.34,NA
"153",1799,"flickor",36608,NA,6454,NA,NA,176.3,NA
"154",1800,"båda könen",67555,1859,16191,NA,26.78,239.67,NA
"155",1800,"pojkar",34763,NA,8602,NA,NA,247.45,NA
"156",1800,"flickor",32792,NA,7589,NA,NA,231.43,NA
"157",1801,"båda könen",70629,1866,14419,NA,25.74,204.15,NA
"158",1801,"pojkar",36245,NA,7787,NA,NA,214.84,NA
"159",1801,"flickor",34384,NA,6632,NA,NA,192.88,NA
"160",1802,"båda könen",74963,1938,13665,NA,25.2,182.29,NA
"161",1802,"pojkar",38326,NA,7482,NA,NA,195.22,NA
"162",1802,"flickor",36637,NA,6183,NA,NA,168.76,NA
"163",1803,"båda könen",74644,1919,13758,NA,25.06,184.31,NA
"164",1803,"pojkar",38204,NA,7593,NA,NA,198.75,NA
"165",1803,"flickor",36440,NA,6165,NA,NA,169.18,NA
"166",1804,"båda könen",76443,1905,14173,NA,24.31,185.41,NA
"167",1804,"pojkar",39035,NA,7725,NA,NA,197.9,NA
"168",1804,"flickor",37408,NA,6448,NA,NA,172.37,NA
"169",1805,"båda könen",76552,1868,13435,NA,23.82,175.5,NA
"170",1805,"pojkar",39129,NA,7279,NA,NA,186.03,NA
"171",1805,"flickor",37423,NA,6156,NA,NA,164.5,NA
"172",1806,"båda könen",74581,1874,17113,NA,24.51,229.46,NA
"173",1806,"pojkar",37784,NA,9118,NA,NA,241.32,NA
"174",1806,"flickor",36797,NA,7995,NA,NA,217.27,NA
"175",1807,"båda könen",75842,1944,14239,NA,24.99,187.75,NA
"176",1807,"pojkar",39069,NA,7760,NA,NA,198.62,NA
"177",1807,"flickor",36773,NA,6479,NA,NA,176.19,NA
"178",1808,"båda könen",73963,1809,16253,NA,23.87,219.75,NA
"179",1808,"pojkar",37899,NA,8779,NA,NA,231.64,NA
"180",1808,"flickor",36064,NA,7474,NA,NA,207.24,NA
